project_title,project_description,project_summary,keywords,category,creator_code,url,created_date,updated_date,collection_date
"UC Claude Enterprise Adoption Dashboard","Project brief to analyze and document adoption of Claude Enterprise across the University of Chicago.","Meta-project defining goals and outputs for the adoption dashboard.","dashboard; adoption; analytics; github pages; reporting","Administrative Operations","NH","","","2026-09-17","2026-09-17"
"离散数学","A project for studying course materials, visualizing concepts, building study guides, and tutoring.","A discrete mathematics study aid.","discrete math; study guide; tutoring; concepts; learning","Teaching","HT","","","2026-09-17","2026-09-17"
"CRISPER project STING/IFNb + NFkb pathway in tumor","Research on CRISPR and STING/IFNb + NFkb signaling in tumors.","Research on CRISPR and STING/IFNb + NFkb signaling in tumors.","crispr; sting; nfkb; tumor; immunology","Research","SQ","","","2026-09-17","2026-09-17"
"job finding","A project for exploring career opportunities, matching skills, improving resumes, and building roadmaps.","Career exploration assistant.","career; resume; job search; skills; roadmap","Career Development","SI","","","2026-09-17","2026-09-17"
"UChicago Benefits Office - Faculty, Staff & OAA Benefits Information","AI assistant from the Benefits Office providing general benefits information for Faculty, OAAs, and Staff.","Benefits assistant for faculty, staff, and OAAs.","benefits; hr; faculty; staff; plan documents","Human Resources","EW","","","2026-09-17","2026-09-17"
"Cavity Floquet Bi2Se3","Physics research on cavity Floquet engineering in Bi2Se3.","Physics research on cavity Floquet engineering in Bi2Se3.","floquet; cavity; bi2se3; condensed matter; physics","Research","GB","","","2026-09-17","2026-09-17"
"papers","A project for working with academic papers.","A project for working with academic papers.","papers; research; academic; literature","Research","JB","","","2026-09-15","2026-09-17"
"dataset_minimization","A project for developing academic research, identifying themes, outlines, and feedback.","Academic research aid on dataset minimization.","dataset; minimization; research; outlines; drafts","Research","ED","","","2026-09-15","2026-09-17"
"Leases","To stay abreast of all lease activity and know the most up to date information on any given lease.","Tracks lease activity and status.","leases; real estate; operations; tracking","Administrative Operations","LL","","","2026-09-11","2026-09-17"
"LEGAL REVIEW","Review supplier redlines against approved terms and identify risks or advise what is acceptable.","Reviews supplier contract redlines for risk.","legal; contracts; redlines; risk; compliance","Legal / Compliance","SB","","","2026-09-10","2026-09-17"
